nazwa,firma,telefon,pesel
Konrad Tylus,Gabinety Grzech,+48 32 071 17 03,01220904910
Józef Wisła,Paliga-Borejko Sp. z o.o.,885 862 947,92111005003
Miłosz Wyderka,Sowała Sp.j.,+48 791 101 392,56021279200
Tobiasz Szłapka,FPUH Dobrosz i syn s.c.,519 940 794,10272650625
Patryk Kultys,FPUH Lubera-Bruzda i syn s.c.,+48 723 012 467,37041412521
Adam Gruszczyk,Dąbrowicz-Folta Sp. z o.o. Sp.k.,509 956 558,48060974457
Krystian Lica,PPUH Zaczyk Sp. z o.o.,788 793 013,20242612294
pani Melania Latuszek,Spółdzielnia Molek-Kleinschmidt s.c.,+48 793 780 012,89030652908
pan Jędrzej Sommerfeld,FPUH Plona-Rasała Sp.k.,+48 606 936 819,95122616246
Aleks Patyna,Oślizło S.A.,+48 780 806 523,50112250419
pan Ernest Jaskóła,Migoń-Glapiak s.c.,+48 729 872 105,52071552236
Julianna Grunt,PPUH Kaczmar i syn s.c.,793 405 670,74061842402
Gabriel Chowaniak,Biegała-Towarek Sp.j.,690 915 096,14021957225
pan Maurycy Dorobisz,Spółdzielnia Hirsch-Łaszcz i syn s.c.,887 046 475,25021747798
Rafał Prygiel,Brodawka Sp. z o.o.,+48 888 510 727,28090835065
Tymoteusz Klęczar,FPUH Pazera-Chachaj Sp.k.,+48 790 113 810,40123119397
Łukasz Hnat,Lesisz Sp. z o.o.,+48 538 012 732,76031056404
pan Cyprian Węgrzynowicz,Gabinety Szczepan Sp. z o.o.,+48 690 699 403,18101945861
Michał Hermann,Gabinety Kosman,510 535 172,96051499131
Iwo Sosnówka,Fronczek-Sypień Sp. z o.o.,518 948 460,01231512678
Benvenuto Pellico,Tognazzi-Sauli Group,+39 051468782,xxx
Sig. Torquato Camiscione,"Roth, Giannetti e Rossini SPA",+39 083283147,xxx
Gianna Dulbecco,Baglioni s.r.l.,+39 3922838331,xxx
Daria Caruso,"Monduzzi, Vergassola e Scarponi s.r.l.",3385354378,xxx
Valeria Dallara,"Totino, Capecchi e Antonelli Group",077119689,xxx
Amedeo Castiglione,Petrocelli-Viola e figli,3896624929,xxx
Guglielmo Fuseli-Stefanelli,Faranda-Santoro SPA,+39 377305696,xxx
Elvira Bongiorno-Rossini,"Nadi, Toselli e Druso SPA",0344130993,xxx
Dott. Amalia Montanelli,Anguillara SPA,0857791295,xxx
Sig.ra Cristina Bertoni,Ginesio s.r.l.,+39 05368765900,xxx
Jolanda Bruno-Moresi,Gargallo-Saffi SPA,+39 037301710,xxx
Paola Bajamonti,Giannetti e figli,+39 010902191,xxx
Emma Ciampi-Trillini,"Falier, Cossiga e Detti SPA",+39 056435839,xxx
Dott. Luigi Zichichi,"Soffici, Cavalcanti e Rizzoli Group",058526481,xxx
Antonio Salandra-Venditti,"Vercelloni, Porcellato e Carosone SPA",3777880358,xxx
Sig.ra Rosaria Tamburini,"Babati, Interminelli e Ricciardi Group",351745962,xxx
Maurilio Moschino,Gramsci-Varano Group,0737878167,xxx
Maria Gullotta,"Fioravanti, Veltroni e Ceri s.r.l.",0774272352,xxx
Gastone Lucchesi,Combi-Scialpi e figli,0122989207,xxx
Francesco Sordi,"Duse, Respighi e Pedrazzini e figli",+39 335048422,xxx
鈴木 桃子,渡辺銀行株式会社,070-9476-8688,xxx
小林 康弘,有限会社高橋水産,090-8308-5611,xxx
木村 聡太郎,合同会社佐藤印刷,090-1291-3579,xxx
松本 結衣,株式会社田中電気,080-8628-0295,xxx
小林 花子,坂本建設合同会社,080-9610-5512,xxx
小林 明美,株式会社吉田銀行,070-1410-3636,xxx
鈴木 浩,株式会社山田食品,070-5090-4630,xxx
斉藤 翼,佐々木印刷株式会社,070-4397-7967,xxx
吉田 京助,木村水産合同会社,080-2468-0016,xxx
佐々木 零,清水電気合同会社,070-5894-1537,xxx
福田 京助,有限会社吉田建設,89-2904-7995,xxx
加藤 拓真,合同会社山本印刷,070-8987-9857,xxx
太田 裕美子,有限会社村上食品,35-8011-4288,xxx
岡本 七夏,有限会社池田ガス,080-4385-7753,xxx
斎藤 亮介,株式会社小林印刷,080-1456-5022,xxx
渡辺 さゆり,吉田情報株式会社,090-7865-5365,xxx
高橋 七夏,株式会社松本銀行,070-0635-5173,xxx
山田 くみ子,佐藤運輸株式会社,090-3290-3224,xxx
高橋 稔,合同会社小林保険,080-4211-1139,xxx
加藤 裕太,有限会社山田運輸,090-7973-4918,xxx
тов. Кудряшов Гедеон Матвеевич,АО «Васильева»,87640687065,xxx
Семен Ильясович Агафонов,НПО «Кондратьев Потапова»,+7 636 585 18 62,xxx
Шаров Добромысл Власович,"РАО «Михеев, Сысоев и Носков»",+71182033756,xxx
Нинель Олеговна Уварова,"ЗАО «Юдина, Морозов и Русаков»",8 (651) 088-8755,xxx
Аксенов Алексей Аверьянович,ОАО «Комиссарова Устинова»,8 617 042 82 92,xxx
Куликов Аверьян Дмитриевич,Август,89583682412,xxx
Леонтий Игнатович Кошелев,Смирнова Лимитед,8 (931) 845-1120,xxx
Анжелика Павловна Рябова,РАО «Зуев Терентьев»,8 (910) 487-63-93,xxx
Нонна Богдановна Кулакова,ИП «Копылова-Нестеров»,8 344 731 79 32,xxx
Блинова Антонина Ефимовна,"ОАО «Фролова, Елисеева и Родионова»",8 307 641 64 65,xxx
Анжела Тимуровна Лапина,"ИП «Силина, Большакова и Казакова»",8 253 712 51 77,xxx
Парфен Захарьевич Панов,"ЗАО «Исаев, Рогов и Игнатова»",+7 (755) 308-84-09,xxx
Павел Ефимович Дмитриев,Белоусов Лимитед,8 752 621 14 80,xxx
Сысоев Капитон Демидович,"АО «Иванова, Бирюков и Мамонтов»",8 167 464 97 13,xxx
Блинова Наталья Константиновна,"НПО «Воронцов, Носов и Савина»",+7 (021) 475-4854,xxx
Казаков Тит Харлампьевич,Группа компаний ПИК,8 (079) 858-7203,xxx
Елисеева Ия Феликсовна,Группа агропредприятий Ресурс,8 967 852 5223,xxx
Трифон Аксёнович Белов,Ачимгаз,8 985 866 7269,xxx
Мария Семеновна Некрасова,Константинов Лимитед,+7 478 269 62 15,xxx
Сидор Абрамович Мельников,ИП «Зыков»,+7 747 972 36 71,xxx
Uroš Mlakar,Rupnik d.d.,040 982 148,xxx
Taja Ramšak,Markovič d.o.o.,04 0055 856,xxx
Kaja Čeh,Pečnik d.o.o.,01 8328 531,xxx
Nadja Kosi,Emilija Petrovič s.p.,01 3551 470,xxx
Andrejka Likar,Maj Toplak s.p.,08 6287 207,xxx
Ljudmila Kocjančič,Janez Bizjak s.p.,01 6575 336,xxx
Bernarda Korošec,Jenko d.d.,08 6726 470,xxx
Matej Gorenc,Klavdija Filipič s.p.,08 7160 582,xxx
Miroslav Leban,Ivo Bizjak s.p.,08 7809 679,xxx
Franci petek,Julijana Šmid s.p.,040 173 910,xxx
Bernarda Ambrožič,Ciril Jerman s.p.,04 4551 584,xxx
Miroslava Jereb,Tina Marolt s.p.,06 1293 904,xxx
Ivo Likar,Erjavec d.o.o.,030 888 496,xxx
Petar Horvat,Marinka Bizjak s.p.,04 6448 965,xxx
Simon Božič,Tomaž Hozjan s.p.,08 4517 375,xxx
Tjaša Sušnik,Željko Kuhar s.p.,08 7674 959,xxx
Milena Jug,Jereb d.o.o.,06 8287 810,xxx
Klara Hafner,Leban d.o.o.,041 981 430,xxx
Sonja Pintar,Nemec d.d.,02 5779 433,xxx
Milka Jereb,Gorjup d.d.,08 5394 043,xxx
Per Jonsson,Pettersson & Svensson HB,+46 (0)8 688 671 99,xxx
Elisabet Johansson,Andersson & Pettersson HB,+46 (0)356 684 58,xxx
Anna Ivarsson,Persson Svensson HB,+46 (0)964 855 03,xxx
Mikael Eriksson,Persson HB,0044-918 85,xxx
Birgitta Berg,Blomqvist & Boman HB,+46 (0)01 46 75 93,xxx
Bernt Eriksson,Håkansson HB,08-030 145 27,xxx
Bernt Jönsson,Berg AB,0765-411 44,xxx
Laila Mårtensson,Svensson AB,+46 (0)355 786 35,xxx
Petter Pettersson,Karlsson & Svensson HB,+46 (0)128 681 57,xxx
Ingegärd Andersson,Månsson HB,0893-04 84 26,xxx
Charlotta Nyström,Lindqvist & Axelsson AB,08-38 87 53,xxx
Fredrik Olsson,Olofsson & Martinsson AB,08-905 06 36,xxx
Lennart Olsson,Blomqvist Andersson AB,+46 (0)8 626 937 60,xxx
Elisabeth Aronsson,Andersson Lundin HB,039-18 21 37,xxx
Maria Andersson,Törnqvist AB,08-442 05 87,xxx
Erik Fredriksson,Fransson Andersson HB,08-690 44 07,xxx
Sture Svensson,Olsson Eriksson HB,08-50 55 08,xxx
Anna Eriksson,Lilja Nygren AB,08-136 51 73,xxx
Martin Andersson,Persson Nilsson AB,+46 (0)03 09 40 32,xxx
Birger Johansson,Svensson & Jonsson AB,+46 (0)07 54 24 08,xxx
Sandra Acheampong,Andorful Inc,+233578754424,xxx
Wendy Opuku-Ansomah,Boaten-Tutu,0282417992,xxx
Rosemary Quartey,Asamoah-Amoako,+233562096668,xxx
Irene Nkrumah,Amoa-Akoaa,0247266345,xxx
Joseph Quartey-Nyame,Safo-Afirifa,+233203088306,xxx
Owura Matthew Omani,Akyeampong Ltd,+233509660538,xxx
Peter Baa,Koomson Ltd,+233247012123,xxx
Adam Acheampong,"Oti, Gyasi and Mansa",+233566205831,xxx
Leslie Adomako,Agyapong-Takyi,+233249710605,xxx
Clifford Osei,Oti Group,0578285219,xxx
Natasha Amoakowaa,"Bonsu, Daako and Obeng",0287487313,xxx
Aaron Boateng,Akɔmaa-Donkor,0542262855,xxx
Margaret Obeng,Akoto Inc,+233546592291,xxx
Jason Tutu,"Pomaa, Asenso and Obeng",0289782461,xxx
Katherine Adutwum,Okyere-Nkrumah,+233578089218,xxx
Owura John Baawia,"Antwiwaa, Gyamfiaa and Frimpomaa",+233271319223,xxx
Dr. Esi Akoto,"Asiama, Oti and Yawson",0246814415,xxx
Dr. Joseph Asamoa,Amponsa Group,+233271469085,xxx
Jill Antwi,Ansa-Adomah,0247081668,xxx
Agya Benjamin Boakye,"Baawia, Nkansah and Mensa",0540967973,xxx
Claudius Schweitzer,Oderwald Segebahn GbR,+49(0) 647088453,xxx
Wanda Conradi,Finke Scheuermann AG,0205043238,xxx
